"","...1","species","longitude","latitude","genus","state","province","locality","elevation.in.m","principal.collector","determinator","herbarium","collection.code","picture.code.link","note","original.name","x","link2","gbifid","link","datasetkey","countrycode","stateprovince","elevation","basisofrecord","institutioncode","collectioncode","catalognumber","recordnumber","identifiedby","recordedby","tae","region","location","elevation2","main.collector","note1","note2","x.1","scientificname","typestatus","altitude.in.m","determined.by","verbatimscientificname","x.2","occurrenceid","kingdom","phylum","class","order","family","infraspecificepithet","taxonrank","verbatimscientificnameauthorship","occurrencestatus","individualcount","publishingorgkey","coordinateuncertaintyinmeters","coordinateprecision","elevationaccuracy","depth","depthaccuracy","eventdate","day","month","year","taxonkey","specieskey","dateidentified","license","rightsholder","establishmentmeans","lastinterpreted","mediatype","issue","cataloguenumber.colectioncode","note.1"
"814",821,"tephrosioides",-77.9666,0.71667,"Senecio","ECU",NA,"Páramo del Angel, between El Angel and Las Juntas.","3500","Harriet G. Barclay","P Sklenar","MO","5014","http://legacy.tropicos.org/Specimen/774681",NA,"Senecio chionogeton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"815",822,"tephrosioides",-77.86666,0.78333,"Senecio","ECU","Carchi","26 km W of Tulcan on road to Maldonado, paramo de Chilos on Colombia border","3510","Alwyn H. Gentry & Eugene Schupp","Harold Robinson","MO","26335","http://legacy.tropicos.org/Specimen/1449525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"816",823,"tephrosioides",-77.8675,0.7977777,"Senecio","ECU","Carchi","Along road Tulcan-Maldonado, W of Tufiño.","3000-4000","H. van der Werff & Edgar Gudiño","Harold Robinson","MO","10684","http://legacy.tropicos.org/Specimen/584970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"817",824,"tephrosioides",-77.9421389,0.8049722,"Senecio","ECU","Carchi","Volcan Chiles, around antennas, ca 0.5 km N of the pass with the road Tufino - Maldonado","4148","Petr Sklenar","Petr Sklenar",NA,"11514",NA,"from Petr's tables","Seneciochionogeton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"818",825,"tephrosioides",-77.936092,0.838599,"Senecio","COL","Nariño","Volcano Chiles","3300","J A Ewan","Luciana Salomon","FMNH","16096","IMG_1243","coordinates created by Diana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819",826,"tephrosioides",-77.719905,1.091409,"Senecio","COL","Nariño","Laguna negra, Volcan Azufrales","4070","Federico Garcias","Joel Calvo","FMNH","1014","Senecio-tephrosioides_MA-01-00794094.JPG","coordinates created by Diana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"820",827,"tephrosioides",-77.6666667,1.1166667,"Senecio","COL","Tuquerres","Volcan Azufral","3500-3800","James Luteyn","Luciana Salomon","FMNH","12808","IMG_1174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"821",828,"tephrosioides",-76.390502,2.345351,"Senecio","COL","Cauca","Volcano Purace","3200-3350","Cuatrecasas","Luciana Salomon","FMNH","26266","IMG_1239","coordinates created by Diana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"822",829,"tephrosioides",-76.243478,2.582689,"Senecio","COL","Cauca","Paramo de las Delicias, Silvia",NA,"Agredo","Luciana Salomon","FMNH","85","IMG_1245","coordinates created by Diana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"823",830,"tephrosioides",-73.816667,-12.783333,"Senecio","PER","Ayacucho","La Mar, west slope of the river Apurimac valley","3380","Madison","Luciana Salomon","USNH","10342-70","https://ids.si.edu/ids/media_view?id=ark:/65665/m342a21e25857946149c72f89553b56a37&defaultView=image_dynamic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"824",831,"tephrosioides",-77.638783,-7.2311,"Senecio","PER","La Libertad","road out of the Bolivar valley towards SE grassland","3750","Montesinos","Salomon","Mus.Bot.Berol.","552","IMG_5582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"825",832,"tephrosioides",-67.85,-16.28333,"Senecio","BOL","La Paz","Cotapata. 8.8 km al este de Unduavi por el camino a Coroico. Bosque nuboso, bajo (4-5 m)","3200","James Salomon","Harold Robinson","MO","18238","http://legacy.tropicos.org/Specimen/591079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826",833,"tephrosioides",-77.784318,-8.217733,"Senecio","PER","Ancash","Above the Laguna de Pelegatos on path to Huacchara Se of Pastobueno, saddle at Huacchara and near Cordiller Cruz de Acero; on rocky slopes.","4540","Thomas Duncan","Luciana Salomon","MO","2638","http://legacy.tropicos.org/Specimen/3378906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827",834,"tephrosioides",-77.46666,-9.38333,"Senecio","PER","Ancash","Huascarán National Park. Quebrada Ishinca, north side of valley. Polylepis weberbauerii woods; steep, SSE-facing slopes.","3900-4000","David Smith","Luciana Salomon","MO","11254","http://legacy.tropicos.org/Specimen/578718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"828",835,"tephrosioides",-68.490306,-15.612333,"Senecio","BOL","La Paz","Province Larecaja, Mapiri trail (trek from Ingenio to Mapiri)","3600-3900","JL Clarck","Luciana Salomon","US","6631","http://n2t.net/ark:/65665/3dd7822e1-055f-4eaa-9969-37185ddf81cc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"829",836,"tephrosioides",-72,-13.116667,"Senecio","PER","Cusco","Urubamba, Dist. Urubamba, Pumahuanca, Matorral","3600-4800","Tupayachi A","Luciana Salomon","US","6441","http://n2t.net/ark:/65665/32b5b65fc-4038-4fad-999f-d03b7801896f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"830",837,"tephrosioides",-73.667222,-11.66,"Senecio","PER","Junin","Prov. Satipo/ La Convencion, Cordillera Vilcabamba, Rio Ene slope","3350-3400","Brad Boyle","Luciana Salomon","US","4324","http://n2t.net/ark:/65665/338d4931d-7c08-4c3d-b3f7-a3ffd367c93c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"831",838,"tephrosioides",-76.287163,2.386271,"Senecio","COL","Cauca","Cordillera Central: Paramo de Juntas (extension of Paramo de Guanacas, km 53)","3300","Cuatrecasas","Luciana Salomon","US","26337","http://n2t.net/ark:/65665/3903bde8c-f6b0-440d-b54d-8e995586a132","coordinates created by Diana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"832",839,"tephrosioides",-73.58521,10.912262,"Senecio","COL","La Guajira","In a deep crevice in the bedrock between high ridge and crest, above and southeast of campsite at joining of two streams. Sta. 5. Depto. Magdalena: Sierra Nevada de Santa Marta; alrededores de cabeceras de Rio Ancho; Paramo de Macotama","4270","Barclay JG","Luciana Salomon","US","6963","http://n2t.net/ark:/65665/33e43dd07-8b4e-421f-a69f-601900191fc6","coordinates created by Diana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"833",840,"tephrosioides",-72.290601,6.355096,"Senecio","COL","Arauca","Arauca: Sierra Nevada del Cocuy, Cabeceras de la Quebrada El Playon, Patio Bolos Lajas 2.5 km al S del Alto La Plaza","4350","Cleef A","Luciana Salomon","US","8954","http://n2t.net/ark:/65665/302ece09c-a36b-4dc1-a833-895e949c7c5a","coordinates created by Diana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"834",841,"tephrosioides",-68.813305,-14.992675,"Senecio","BOL","La Paz","Bautista Saavedra, Area Natural de Manejo Integrado Apolobamba, Chaka","3625","Acha S","Luciana Salomon","US","144","http://n2t.net/ark:/65665/31852b9f3-dc6c-4c29-82cd-fe148fcea5bc","coordinates created by Diana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"835",842,"tephrosioides",-67.3,-16.8,"Senecio","BOL","La Paz","Pavionani - - On the slope above the Pavionani Fork of the Río Chimu below the headwaters divide with the Río Janko Kalani. Two herders huts are in the area. 7 km N. of Choquetanga. Grasslands at treeline, both grazed and ungrazed with small patches of trees along the river. Weinmannia and Gynoxys are common trees.","3500-3600","Lewis M","Harold Robinson","MO","38491","http://legacy.tropicos.org/Specimen/583584",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"836",843,"tephrosioides",-68.9797223,-14.6941666,"Senecio","BOL","La Paz","Parque Nacional Madidi. Senda Pelechuco-Mojo, sector Tambo Quemado.","3490","Carla Maldonado","Hind N","MO","3255","http://legacy.tropicos.org/Specimen/1855676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"837",844,"tephrosioides",-69.08833,-14.68694,"Senecio","BOL","La Paz","Parque Nacional Madidi, laguna Tolca Cocha, al NE de Keara Nuevo. Pajonales de sustitucion del bosque de yungas en ceja de monte superior pluvial, con Festuca sp. Plantas alcoholizadas.","3900","Fuentes A","Fuentes A","LPB, MA, MO, USZ","9817","http://legacy.tropicos.org/Specimen/2952517","Please, verify identification, pictures provided in the link",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"838",849,"serratifolius",-68,-16,"Senecio",NA,NA,"La Fabulosa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",2517374668,"https://www.gbif.org/occurrence/2517374668","15f819bd-6612-4447-854b-14d12ee1022d","BO",NA,NA,NA,"U.1142271","Brooke, WMA 6346",NA,"Brooke WMA",NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"839",850,"serratifolius",-70.718889,-16.142222,"Senecio",NA,NA,"Ubinas District, Coalaque, Larsepesca.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",2517350073,"https://www.gbif.org/occurrence/2517350073","15f819bd-6612-4447-854b-14d12ee1022d","PE","Moquegua",NA,NA,"WAG.1313558","Montesinos Tubée, DB 2466",NA,"Montesinos Tubée DB",NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"840",851,"serratifolius",-67.9,-16.483333,"Senecio",NA,NA,"Dpto. La Paz: Prov. Murillo trail from mina San Francisco to the pass, 11 km N of Ventilla along the Rio Choquekkota.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",2517314660,"https://www.gbif.org/occurrence/2517314660","15f819bd-6612-4447-854b-14d12ee1022d","BO",NA,NA,NA,"U.1142272","Solomon, JC 13787",NA,"Solomon JC",NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"841",852,"serratifolius",-68.033333,-16.316667,"Senecio",NA,NA,"Dpto. La Paz: Prov. Murillo. 4 km al este de la Cumbre (vieja estacion de ferrocarril) por el camino a Unduavi.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",2517085680,"https://www.gbif.org/occurrence/2517085680","15f819bd-6612-4447-854b-14d12ee1022d","BO",NA,NA,NA,"U.1142273","Solomon, JC 18298",NA,"Solomon JC",NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"842",853,"serratifolius",-71.58833,-15.71639,"Senecio",NA,NA,"Peru: Caylloma; Chivay; Abra Apacheta. Bofedal growing with Azorella compacta, Festuca orthophylla. Herb, acuatic, disc yellow cap. Alt.: 4582 m.2017-03-27, Leg.: Montesinos,D. 5164.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",2446661131,"https://www.gbif.org/occurrence/2446661131","85714c48-f762-11e1-a439-00145eb45e9a","PE",NA,4582,"B","B 10 0843233",NA,"L.Salomón (PRC) 2020","Montesinos,D.",NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"843",854,"serratifolius",-70.55583,-16.68639,"Senecio",NA,NA,"Peru: G. Sánchez Cerro; Chojata; NE of Ticsani volcano. Cryoturbate soils with cushions growing with Oxychloe andina, Werneria sp. Herb, acuatic, disc yellow cap. Alt.: 4923 m.2017-04-28, Leg.: Montesinos,D. & Chicalla,K. 5398.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",2446660492,"https://www.gbif.org/occurrence/2446660492","85714c48-f762-11e1-a439-00145eb45e9a","PE",NA,4923,"B","B 10 0745148",NA,"L.Salomon (PRC) 2020: !","Montesinos,D. & Chicalla,K.",NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"844",855,"serratifolius",-71.545278,-15.758333,"Senecio",NA,NA,"Depto. Arequipa, pr. Chivay, ladera S del nevado Huarancante",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",1936645998,"https://www.gbif.org/occurrence/1936645998","834c9918-f762-11e1-a439-00145eb45e9a","PE",NA,NA,"MA","MA-01-00728772","11008",NA,"C. Aedo & A. Galán de mera",NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"845",856,"serratifolius",-65.39,-23.07,"Senecio",NA,NA,"Mina Aguilar.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",1837789471,"https://www.gbif.org/occurrence/1837789471","3cc9ba97-17dc-4a4a-8a12-bb36038021c4","AR",NA,NA,"BAA","348908","s.n. (BAA9796)","-","Ruthsatz, B.",NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"846",857,"serratifolius",-65.7,-23.2,"Senecio",NA,NA,"Mina Aguilar, Veta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",1837786755,"https://www.gbif.org/occurrence/1837786755","3cc9ba97-17dc-4a4a-8a12-bb36038021c4","AR",NA,NA,"BAA","518021","s.n. BAA 9796","-","Ruthsatz, B.",NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"847",858,"serratifolius",-65.7,-23.16,"Senecio",NA,NA,"El Aguilar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",1837786641,"https://www.gbif.org/occurrence/1837786641","3cc9ba97-17dc-4a4a-8a12-bb36038021c4","AR",NA,NA,"BAA","518006","139 BAA 27789","Ratto, F.","Ratto, F.",NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"848",859,"serratifolius",-67.97,-16.28,"Senecio",NA,NA,"Depto. La paz, Prov. P. D. Murillo, Bajando hacia Unduavi entrando en 3760 mts., por la mina Lourdes, arriba de la mina.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",1676042500,"https://www.gbif.org/occurrence/1676042500","821cc27a-e3bb-4bc5-ac34-89ada245069d","BO","La Paz",4350,"US","US 3676883","30113",NA,"S. Beck, S. Hitz & C. Beck",NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"849",860,"serratifolius",-67.85,-16.5,"Senecio",NA,NA,"Depto. La Paz, Prov. P. D. Murillo, ciudad de La Paz, Cota Cota 35.4 km hacia las",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",1675822154,"https://www.gbif.org/occurrence/1675822154","821cc27a-e3bb-4bc5-ac34-89ada245069d","BO","La Paz",4800,"US","US 3676884","30422",NA,"S. Beck",NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"850",861,"serratifolius",-68.03,-16.32,"Senecio",NA,NA,"Prov. Murillo, 4 km al este de La Cumbre (vieja estacon de ferrocarril) por el camino a Unduavi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",1563328422,"https://www.gbif.org/occurrence/1563328422","821cc27a-e3bb-4bc5-ac34-89ada245069d","BO","La Paz",4450,"US","US 3141176","18298",NA,"J. C. Solomon",NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"851",862,"serratifolius",-67.32,-16.95,"Senecio",NA,NA,"Inquisivi Province, Mina Argentina, near the cut-off to Mina Argentina, 11 km S of Choquetanga",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",1563253828,"https://www.gbif.org/occurrence/1563253828","821cc27a-e3bb-4bc5-ac34-89ada245069d","BO","La Paz",4670,"US","US 3244285","38100",NA,"M. A. Lewis",NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"852",863,"serratifolius",-69.5428,-18.135,"Senecio",NA,NA,"Above road to Tacora (Rt A23); btw 9 & 10 km from Rt 11. Above edge of bofedal on sandy slope of Cerro Llancoma.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",1320178239,"https://www.gbif.org/occurrence/1320178239","821cc27a-e3bb-4bc5-ac34-89ada245069d","CL","Arica y Parinacota (XV)",4466,"US","US 3683783","13100","Calvo, J.","V. A. Funk, M. Diazgranados C. & J. M. Bonifacino",NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
